model,target,study,n_test,rmse,mean_y_held_out
RF,P_kbar,"Draper, D.S., Johnston, A.D. (1992) Anhydrous PT phase relations of an Aleutian high-MgO basalt: an investigation of the role of olivine-liquid reaction in the generation of arc high-alumina basalts. Contributions to Mineralogy and Petrology 112 501-519",7,2.26514590970951,11.714285782405286
RF,P_kbar,"Dunn, T., Sen, C. (1994) Mineral / matrix partition coefficients for orthopyroxene, plagioclase, and olivine in basaltic to andesitic systems: A combined analytical and experimental study. Geochimica et Cosmochimica Acta 58 717-733",4,1.5882645841375818,0.0009999999747378
RF,P_kbar,"Falloon, T.J., Danyushevsky, L.V. (2000) Melting of refractory mantle at 1.5, 2 and 2.5 GPa under anhydrous and H20-undersaturated conditions: implications for the petrogenesis of high-Ca boninites and the influence of subduction components on mantle melting. Journal of Petrology 41 257-283",23,8.492074986647747,17.608695652173914
RF,P_kbar,"Falloon, T.J., Danyushevsky, L.V., Green, D.H. (2001) Peridotite melting at 1 GPa: Reversal experiments on partial melt compositions produced by peridotite-basalt sandwich experiments. Journal of Petrology 42 2363-2390",12,1.0980745263166538,10.0
RF,P_kbar,"Falloon, T.J., Green, D.H., Danyushevsky, L.V., Faul, U.H. (1999) Peridotite melting at 1.0 and 1.5 GPa: an experimental evaluation of techniques using diamond aggregates and mineral mixes for determination of near-solidus melts. Journal of Petrology 40 1343-1375",9,1.379735620137748,11.11111111111111
RF,P_kbar,"Falloon, T.J., Green, D.H., Danyushevsky, L.V., McNeill, A.W. (2008) The composition of near-solidus partial melts of fertile peridotite at 1 and 1.5 GPa: implications for the petrogenesis of MORB. Journal of Petrology 49 591-613",8,1.972135956086436,12.5
RF,P_kbar,"Falloon, T.J., Green, D.H., O'Neill, H.St.C., Hibberson, W.O. (1997) Experimental tests of low degree peridotite partial melt compositions: implications for the nature of anhydrous near-solidus peridotite melts at 1 GPa. Earth and Planetary Science Letters 152 149-162",9,1.874207131141804,10.0
RF,P_kbar,"Feig, S.T., Koepke, J., Snow, J.E. (2006) Effect of water on tholeiitic basalt phase equilibria: an experimental study under oxidizing conditions. Contributions to Mineralogy and Petrology 152 611-638",3,3.5867024064773587,5.018999775250733
RF,P_kbar,"Fellows, S.A., Canil, D. (2012) Experimental study of the partitioning of Cu during partial melting of Earth's mantle. Earth and Planetary Science Letters 337-338 133-143",2,1.0493091067685076,10.0
RF,P_kbar,"Fonseca, R.O.C., Mallmann, G., Sprung, P., Sommer, J.E., Heuser, A., Speelmanns, I.M., Blanchard, H. (2014) Redox controls on tungsten and uranium crystal/silicate melt partitioning and implications for the U/W and Th/W ratio of the lunar mantle. Earth and Planetary Science Letters 404 42017",3,10.487349432139009,0.001
RF,P_kbar,"Fram, M.S., Longhi, J. (1992) Phase equilibria of dikes associated with Proterozoic anorthosite complexes. American Mineralogist 77 605-616",3,2.2008334202336406,9.499999880790567
RF,P_kbar,"Gaetani, G.A., Grove, T.L. (1998) The influence of water on melting of mantle peridotite. Contributions to Mineralogy and Petrology 131 323-346",21,2.832355338682947,13.904762268066426
RF,P_kbar,"Gaetani, G.A., Kent, A.J.R., Grove, T.L., Hutcheon, I.D., Stolper, E.M. (2003) Mineral/melt partitioning of trace elements during hydrous peridotite partial melting. Contributions to Mineralogy and Petrology 145 391-405",4,0.6929320331148083,14.000000357628
RF,P_kbar,"Gardner, J.E., Rutherford, M., Carey, S., Sigurdsson, H. (1995) Experimental constraints on pre-eruptive water contents and changing magma storage prior to explosive eruptions of Mount St Helens volcano. Bulletin of Volcanology 57 1-17",7,2.0017759977585157,1.9285714626312
RF,P_kbar,"Grove, T.L., Donnelly-Nolan, J.M., Housh, T. (1997) Magmatic processes that generated the rhyolite of Glass Mountain, Medicine Lake volcano, N. California. Contributions to Mineralogy and Petrology 127 205-223",2,4.1029827430546115,1.0000000149012
RF,P_kbar,"Grove, T.L., Elkins-Tanton, L.T., Parman, S.W., Chatterjee, N., Müntener, O., Gaetani, G.A. (2003) Fractional crystallization and mantle-melting controls on calc-alkaline differentiation trends. Contributions to Mineralogy and Petrology 145 515-533",7,3.2258138845754916,4.143142886937953
RF,P_kbar,"Grove, T.L., Gerlach, D.C., Sando, T.W. (1982) Origin of Calc-Alkaline Series Lavas at Medicine Lake Volcano by Fractionation, Assimilation and Mixing. Contributions to Mineralogy and Petrology 80 160-182",2,2.055375561019198,0.0010132500028703
RF,P_kbar,"Grove, T.L., Holbig, E.S., Barr, J.A., Till, C.B., Krawczynski, M.J. (2013) Melts of garnet lherzolite: experiments, models and comparison to melts of pyroxenite and carbonated lherzolite. Contributions to Mineralogy and Petrology 166 887-910",5,3.3034686636162096,23.6
RF,P_kbar,"Grove, T.L., Juster, T.C. (1989) Experimental investigations of low-Ca pyroxene stability and olivine - pyroxene - liquid equilibria at 1-atm in natural basaltic and andesitic liquids. Contributions to Mineralogy and Petrology 103 287-305",3,7.5038652700857424,10.666666825612333
RF,P_kbar,"Hesse, M., Grove, T.L. (2003) Absarokites from the western Mexican Volcanic Belt: constraints on mantle wedge conditions. Contributions to Mineralogy and Petrology 146 10-27",16,4.610916797343815,18.18749994039544
RF,P_kbar,"Kelemen, P.B., Joyce, D.B., Webster, J.D., Holloway, J.R. (1990) Reaction between ultramafic rock and fractionating basaltic magma II. Experimental investigation of reaction between olivine tholeiite and hartzburgite at 1150-1050_C and 5kb. Journal of Petrology 31 99-134",2,5.710950344316596,4.9049998819828
RF,P_kbar,"Kinzler, R.J. (1997) Melting of mantle peridotite at pressures approaching the spinel to garnet transition: application to mid-ocean ridge basalt petrogenesis. Journal of Geophysical Research 102 853-874",6,2.2648651828826094,16.333333253860335
RF,P_kbar,"Kinzler, R.J., Grove, T.L. (1992) Primary magmas of mid-ocean ridge basalts 1. experiments and methods. Journal of Geophysical Research 97 6885-6906",17,1.6462902687726821,12.294117773280506
RF,P_kbar,"Kogiso, T., Hirose, K., Takahashi, E. (1998) Melting experiments on homogeneous mixtures of peridotite and basalt: application to the genesis of ocean island basalts. Earth and Planetary Science Letters 162 45-61",7,2.3535942672823964,17.857142857142858
RF,P_kbar,"Laporte, D., Toplis, M.J., Seyler, M., Devidal, J.-L. (2004) A new experimental technique for extracting liquids from peridotite at very low degrees of melting: application to partial melting of depleted peridotite. Contributions to Mineralogy and Petrology 146 463-484",10,1.971663772532318,10.0
RF,P_kbar,"Longhi, J. (1995) Liquidus equilibria of some primary lunar and terrestrial melts in the garnet stability field. Geochimica et Cosmochimica Acta 59 2375-2386",5,5.936910275282669,30.0
RF,P_kbar,"Longhi, J. (2002) Some phase equilibrium systematics of lherzolite melting: I. Geochemistry, Geophysics, Geosystems 3 1-33",5,0.7691653438036724,27.1999998092652
RF,P_kbar,"Longhi, J., Pan, V. (1988) A Reconnaisance Study of Phase Boundaries in Low-Alkali Basaltic Liquids. Journal of Petrology 29 115-147",10,8.53432045546345,0.0010132500028703
RF,P_kbar,"Martel, C., Pichavant, M., Holtz, F., Scaillet, B., Bourdier, J., Traineau, H. (1999) Effects of fO2 and H2O on andesite phase relations between 2 and 4 kbar. Journal of Geophysical Research 104 29453-29470",7,2.3567929391125424,2.2275713937623425
RF,P_kbar,"Matzen, A.K., Baker, M.B., Beckett, J.R., Stolper, E.M. (2013) The temperature and pressure dependence of nickel partitioning between olivine and silicate melt. Journal of Petrology 54(12) 2521-2545",2,1.8160136519121166,25.0
RF,P_kbar,"Meen, J.K. (1987) Formation of shoshonites from calcalkaline basalt magmas: geochemical and experimental constraints from the type locality. Contributions to Mineralogy and Petrology 97 333-351",3,5.566871645826791,6.666999999991579
RF,P_kbar,"Mercer, C.N., Johnston, A.D. (2008) Experimental studies of the P-T-H2O near-liquidus phase relations of basaltic andesite from North Sister Volcano, High Oregon Cascades: constraints on lower-crustal mineral assemblages. Contributions to Mineralogy and Petrology 155 571-592",6,8.373682558176267,15.0
RF,P_kbar,"Moore, G., Carmichael, I.S.E. (1998) The hydrous phase equilibria (to 3 kbar) of an andesite and basaltic andesite from western Mexico: constraints on water content and conditions of phenocryst growth. Contributions to Mineralogy and Petrology 130 304-319",6,4.022721446240669,1.1809999992450015
RF,P_kbar,"Mussel White, D.S., Dalton, H.A., Kiefer, W.S., Treiman, A.H. (2006) Experimental petrology of the basaltic shergotittite Yamato-980459: Implications for the thermal structure of the Martian mantle. Meteoritics & Planetary Science 41 1271-1290",6,5.590724780193915,11.683333516120832
RF,P_kbar,"Müntener, O., Kelemen, P.B., Grove, T.L. (2001) The role of H2O during crystallization of primitive arc magmas under uppermost mantle conditions and genesis of igneous pyroxenites: an experimental study. Contributions to Mineralogy and Petrology 141 643-658",19,4.0485024761877915,12.000000476836998
RF,P_kbar,"Nekvasil, H., Dondolini, A., Horn, J., Filiberto, J., Long, H., Lindsley, D.H. (2004) The origin and evolution of silica-saturated alkalic suites: an experimental study. Journal of Petrology 45 693-721",2,1.8515006267278065,9.3000000715256
RF,P_kbar,"Parman, S.W., Grove, T.L. (2004) Harzburgite melting with and without H2O: experimental data and predictive modeling. Journal of Geophysical Research 109 B02201",17,4.1036039364659445,18.470588291392588
RF,P_kbar,"Patiño Douce, A.E. (1995) Experimental generation of hybrid silicic melts by reaction of high-Al basalt with metamorphic rocks. Journal of Geophysical Research 100 15623-15639",3,2.3042861934209395,8.000000119209234
RF,P_kbar,"Patiño Douce, A.E., Beard, J.S. (1995) Dehydration-melting of biotite gneiss and quartz amphibolite from 3 to 15 kbar. Journal of Petrology 36 707-738",21,3.8428585349918944,8.4999999829701
RF,P_kbar,"Pichavant, M., Martel, C., Bourdier, J.-L., Scaillet, B. (2002) Physical conditions, structure, and dynamics of a zoned magma chamber: Mount Pelée (Martinique, Lesser Antilles Arc). Journal of Geophysical Research 107 1-25",3,5.805633607846431,4.088999927043901
RF,P_kbar,"Pichavant, M., Mysen, B.O., MacDonald, R. (2002) Source and H2O content of high-MgO magmas in island arc settings: an experimental study of a primitive calc-alkaline basalt from St. Vincent, Lesser Antilles arc. Geochimica et Cosmochimica Acta 66 2193-2209",11,2.5461989214723872,14.909090887416454
RF,P_kbar,"Pickering-Witter, J., Johnston, A.D. (2000) The effects of variable bulk composition on the melting systematics of fertile peridotitic assemblages. Contributions to Mineralogy and Petrology 140 190-211",14,1.562284733911518,10.0
RF,P_kbar,"Robinson, J.A.C., Wood, B.J., Blundy, J.D. (1998) The beginning of melting of fertile and depleted peridotite at 1.5 GPa. Earth and Planetary Science Letters 155 97-111",10,2.2575062964201944,15.0
RF,P_kbar,"Rosenthal, A., Hauri, E.H., Hirschmann, M.M. (2015) Experimental determination of C, F, and H partitioning between mantle minerals and carbonated basalt, CO2/Ba and CO2/Nb systematics of partial melting, and the CO2 contents of basaltic source regions. Earth and Planetary Science Letters 412 77-87",17,6.636473776503164,18.11764705882353
RF,P_kbar,"Salters, V.J.M., Longhi, J. (1999) Trace element partitioning during the initial stages of melting beneath mid-ocean ridges. Earth and Planetary Science Letters 166 15-30",5,0.5897900766449476,26.400000095367403
RF,P_kbar,"Salters, V.J.M., Longhi, J.E., Bizimis, M. (2002) Near mantle solidus trace element partitioning at pressures up to 3.4 GPa. Geochemistry, Geophysics, Geosystems 3 41662",11,1.9172764336150256,29.454545411196637
RF,P_kbar,"Schwab, B.E., Johnston, A.D. (2001) Melting systematics of modally variable, compositionally intermediate peridotites and the effects of mineral fertility. Journal of Petrology 42 1789-1811",12,1.6344702640519095,10.0
RF,P_kbar,"Skjerlie, K.P., Johnston, D. (1996) Vapour-absent melting from 10 to 20 kbar of crustal rocks that contain multiple hydrous phases: implications for anatexis in the deep to very deep continental crust and active continental margins. Journal of Petrology 37 661-691",6,2.51520456036457,10.416666666666666
RF,P_kbar,"Stolper, E. (1980) A Phase Diagram for Mid-Ocean Ridge Basalts: Preliminary Results and Implications for Petrogenesis. Contributions to Mineralogy and Petrology 74 13-27",3,2.468361732245644,13.333333333333334
RF,P_kbar,"Sun, C., Liang, Y. (2013) Distribution of REE and HFSE between low-Ca pyroxene and lunar picritic melts around multiple saturation points. Geochimica et Cosmochimica Acta 119 340-358",6,2.1499761640556705,20.583333333333332
RF,P_kbar,"Takagi, D., Sato, H., Nakagawa, N. (2005) Experimental study of a low-alkali tholeiite at 1-5kbar:optimal condition for the crystalization of high-An plagioclase in hydrous arc tholeiite. Contrib Mineral Petrol 149 527-540",2,6.206220348931071,5.0
RF,P_kbar,"Vander Auwera, J., Longhi, J. (1994) Experimental study of a jotunite (hypersthene monzodiorite): constraints on the parent magma composition and crystallization conditions (P, T, fO2) of the Bjerkreim-Sokndal layered intrusion (Norway). Contributions to Mineralogy and Petrology 118 60-78",10,3.7226150299314082,9.600099785420813
RF,P_kbar,"Villiger, S., Ulmer, P., Muntener, O., Thompson, A.B. (2004) The liquid line of descent of anhydrous, mantle-derived, tholeiitic liquids by fractional and equilibrium crystallization - an experimental study at 1.0 GPa. Journal of Geology 45 2369-2388",5,2.490931385767936,10.0
RF,P_kbar,"Wagner, T.P., Grove, T.L. (1997) Experimental constraints on the origin of lunar high-Ti ultramafic glasses. Geochimica et Cosmochimica Acta 61 1315-1327",2,3.0217393096168506,17.350000143051
RF,P_kbar,"Wagner, T.P., Grove, T.L. (1998) Melt/harzburgite reaction in the petrogenesis of tholeiitic magma from Kilauea volcano, Hawaii. Contributions to Mineralogy and Petrology 131 1-12",2,1.4522845870766319,11.999999880790499
RF,P_kbar,"Walter, M.J. (1998) Melting of garnet peridotite and the origin of komatiite and depleted lithosphere of komatiite and depleted lithosphere. Journal of Petrology 39 29-60",6,13.659953476725248,40.833333333333336
RF,P_kbar,"Wang, J., Xiong, X., Takahashi, E., Zhang, L., Li, L., Liu, X. (2019) Oxidation state of arc mantle revealed by partitioning of V, Sc and Ti between mantle minerals and basaltic melts. Journal of Geophysical Research Solid Earth 124 4617– 4638",8,4.091983374897962,16.25
RF,P_kbar,"Wasylenki, L.E., Baker, M.B., Kent, A.J.R., Stolper, E.M. (2003) Near-solidus melting of the shallow upper mantle: partial melting experiments on depleted peridotite. Journal of Petrology 44 1163-1191",8,4.626170940143969,12.5
RF,P_kbar,"Xirouchakis, D., Hirschmann, M.M., Simpson, J. (2001) The effect of titanium on the silica content and on mineral-liquid partitioning of mantle-equilibrated melts. Geochimica et Cosmochimica Acta 65 2201-2217",5,12.421530477700657,20.44000009447333
RF,P_kbar,"Yao, L., Sun, C., Liang, Y. (2012) A parameterized model for REE distribution between low-Ca pyroxene and basaltic melts with applications to REE partitioning in low-Ca pyroxene along a mantle adiabat and during pyroxenite-derived melt and peridotite interaction. Contributions to Mineralogy and Petrology 164 261-180",4,8.010825562716162,20.0
